Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2014,26.0,June 29,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,27.0,July 6,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,28.0,July 13,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,29.0,July 20,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,30.0,July 27,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,31.0,August 3,Auryn,"""Puppeteer""",,,Puppeteer,
2014,32.0,August 10,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,33.0,August 17,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,34.0,August 24,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,35.0,August 31,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,36.0,September 7,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,37.0,September 14,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,38.0,September 21,Pablo Alborán,"""Por Fin""",,,Por Fin,
2014,39.0,September 28,Pablo Alborán,"""Por Fin""",,,Por Fin,
2014,40.0,October 5,Lilly Wood & The Prick and Robin Schulz,"""Prayer in C (Robin Schulz Radio Edit)""",,,Prayer in C,
2014,41.0,October 12,Pablo Alborán,"""Pasos de cero""",,,Pasos de cero,
2014,42.0,October 19,Pablo López,"""El mejor momento""",,,El mejor momento,
2014,43.0,October 26,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,
2014,44.0,November 2,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,
2014,45.0,November 9,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,46.0,November 16,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,47.0,November 23,Band Aid 30,"""Do They Know It's Christmas? (2014)""",,,Do They Know Its Christmas?,
2014,48.0,November 30,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,
2014,49.0,December 7,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,
2014,50.0,December 14,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,51.0,December 21,David Guetta feat. Sam Martin,"""Dangerous""",,,Dangerous,
2014,52.0,December 28,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2015,1.0,January 4,David GuettafeaturingSam Martin,"""Dangerous""",Melendi,"""Tocado y hundido""",Dangerous,Tocado y hundido
2015,2.0,January 11,David GuettafeaturingSam Martin,"""Dangerous""","""Stay with Me""",[5],Dangerous,
2015,3.0,January 18,David GuettafeaturingSam Martin,"""Dangerous""","""Dangerous""",[7],Dangerous,
2015,4.0,January 25,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""",Melendi,"""Tocado y hundido""",Uptown Funk,Tocado y hundido
2015,5.0,February 1,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""","""Dangerous""",[11],Uptown Funk,
2015,6.0,February 8,Mark RonsonfeaturingBruno Mars,Meghan Trainor,"""Lips Are Movin""",[13],Meghan Trainor,
2015,7.0,February 15,Mark RonsonfeaturingBruno Mars,Meghan Trainor,,,Meghan Trainor,
2015,8.0,February 22,Ellie Goulding,"""Love Me like You Do""","""Lips Are Movin""",,Love Me like You Do,
2015,9.0,March 1,Ellie Goulding,Ed Sheeran,"""Thinking Out Loud""",[19],Ed Sheeran,
2015,10.0,March 8,Nicky Jam&Enrique Iglesias,"""El Perdón""","""Thinking Out Loud""",,El Perdón,
2015,11.0,March 15,Nicky Jam&Enrique Iglesias,"""El Perdón""",,,El Perdón,
2015,12.0,March 22,Nicky Jam&Enrique Iglesias,Meghan Trainor,"""Lips Are Movin""",[25],Meghan Trainor,
2015,13.0,March 29,Nicky Jam&Enrique Iglesias,Meghan Trainor,,,Meghan Trainor,
2015,14.0,April 5,Nicky Jam&Enrique Iglesias,Ellie Goulding,"""Love Me like You Do""",[29],Ellie Goulding,
2015,15.0,April 12,Nicky Jam&Enrique Iglesias,Ellie Goulding,,,Ellie Goulding,
2015,16.0,April 19,Nicky Jam&Enrique Iglesias,Ellie Goulding,,,Ellie Goulding,
2015,17.0,April 26,Nicky Jam&Enrique Iglesias,Alejandro Sanz,"""Love Me like You Do""",[35],Alejandro Sanz,
2015,18.0,May 3,Nicky Jam&Enrique Iglesias,Melendi,"""Love Me like You Do""",[37],Melendi,
2015,19.0,May 10,Nicky Jam&Enrique Iglesias,Paulina RubiofeaturingMorat,"""Mi Nuevo Vicio""",[39],Paulina RubiofeaturingMorat,
2015,20.0,May 17,Nicky Jam&Enrique Iglesias,Alejandro Sanz,"""Un Zombie a la Intemperie""",[41],Alejandro Sanz,
2015,21.0,May 24,Nicky Jam&Enrique Iglesias,Major LazerfeaturingDJ SnakeandMØ,"""Lean On""",[43],Major LazerfeaturingDJ SnakeandMØ,
2015,22.0,May 31,Nicky Jam&Enrique Iglesias,Lost Frequencies,"""Are You with Me""",[45],Lost Frequencies,
2015,23.0,June 7,Nicky Jam&Enrique Iglesias,Lost Frequencies,,,Lost Frequencies,
2015,24.0,June 14,Nicky Jam&Enrique Iglesias,Lost Frequencies,,,Lost Frequencies,
2015,25.0,June 21,Nicky Jam&Enrique Iglesias,Lost Frequencies,,,Lost Frequencies,
2015,26.0,June 28,Nicky Jam&Enrique Iglesias,Lost Frequencies,,,Lost Frequencies,
2015,27.0,July 5,Nicky Jam&Enrique Iglesias,Major LazerfeaturingDJ Snake&MØ,"""Lean On""",[55],Major LazerfeaturingDJ Snake&MØ,
2015,28.0,July 9,Gente de ZonafeaturingMarc Anthony,"""La Gozadera""","""Lean On""",,La Gozadera,
2015,29.0,July 16,Gente de ZonafeaturingMarc Anthony,"""La Gozadera""","""Are You with Me""",[59],La Gozadera,
2015,30.0,July 23,Gente de ZonafeaturingMarc Anthony,"""La Gozadera""","""Cuando me siento bien""",[61],La Gozadera,
2015,31.0,July 30,Gente de ZonafeaturingMarc Anthony,Lost Frequencies,"""Are You with Me""",[63],Lost Frequencies,
2015,32.0,August 6,Gente de ZonafeaturingMarc Anthony,Lost Frequencies,,,Lost Frequencies,
2015,33.0,August 13,Gente de ZonafeaturingMarc Anthony,Estopa,"""Pastillas para dormir""",[67],Estopa,
2015,34.0,August 20,Gente de ZonafeaturingMarc Anthony,Estopa,,,Estopa,
2015,35.0,August 27,Gente de ZonafeaturingMarc Anthony,Estopa,,,Estopa,
2015,36.0,September 3,Gente de ZonafeaturingMarc Anthony,MadconfeaturingRay Dalton,"""Don't Worry""",[73],MadconfeaturingRay Dalton,
2015,37.0,September 10,Gente de ZonafeaturingMarc Anthony,MadconfeaturingRay Dalton,,,MadconfeaturingRay Dalton,
2015,38.0,September 17,Gente de ZonafeaturingMarc Anthony,KygofeaturingParson James,"""Stole the Show""",[77],KygofeaturingParson James,
2015,39.0,September 24,J Balvin,"""Ginza""","""Stole the Show""",,Ginza,
2015,40.0,October 1,J Balvin,"""Ginza""",,,Ginza,
2015,41.0,October 8,Cali y El Dandee,"""Por fin te encontré""","""Stole the Show""",,Por fin te encontré,
2015,42.0,October 15,Cali y El Dandee,"""Por fin te encontré""",,,Por fin te encontré,
2015,43.0,October 22,Cali y El Dandee,"""Por fin te encontré""","""Stole the Show""",[87],Por fin te encontré,
2015,44.0,October 29,Adele,"""Hello""","""Stole the Show""","""El mismo sol""",Hello,El mismo sol
2015,45.0,November 5,Adele,"""Hello""","""Stole the Show""",[91],Hello,
2015,46.0,November 12,Adele,Felix Jaehn featuring Jasmine Thompson,"""Ain’t Nobody (Loves Me Better)""",[93],Felix Jaehn featuring Jasmine Thompson,
2015,47.0,November 19,Justin Bieber,"""Sorry""","""Ain’t Nobody (Loves Me Better)""",,Sorry,
2015,48.0,November 26,Justin Bieber,"""Sorry""",,,Sorry,
2015,49.0,December 3,Justin Bieber,Adele,"""Hello""",[99],Adele,
2015,50.0,December 10,Justin Bieber,Adele,,,Adele,
2015,51.0,December 17,Justin Bieber,Adele,,,Adele,
2015,52.0,December 24,Justin Bieber,Pablo LópezfeaturingJuanes,"""Tu enemigo""",[105],Pablo LópezfeaturingJuanes,
2015,53.0,December 31,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,1.0,January 7,Justin Bieber,"""Sorry""",Adele,"""Hello""",Sorry,Hello
2016,2.0,January 14,Justin Bieber,Pablo LópezfeaturingJuanes,"""Tu enemigo""",[4],Pablo LópezfeaturingJuanes,
2016,3.0,January 21,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,4.0,January 28,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,5.0,February 4,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,6.0,February 11,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,7.0,February 18,Justin Bieber,Pablo LópezfeaturingJuanes,,,Pablo LópezfeaturingJuanes,
2016,8.0,February 25,Justin Bieber,Matt Simons,"""Tu enemigo""",[16],Matt Simons,
2016,9.0,March 3,Justin Bieber,Major LazerfeaturingNyla&Fuse ODG,"""Tu enemigo""",[18],Major LazerfeaturingNyla&Fuse ODG,
2016,10.0,March 10,Justin Bieber,Alan Walker,"""Faded""",[20],Alan Walker,
2016,11.0,March 17,Alan Walker,"""Faded""","""Faded""",,Faded,
2016,12.0,March 24,Alan Walker,"""Faded""",,,Faded,
2016,13.0,March 31,Alan Walker,Matt Simons,"""Catch & Release"" (Deepend Remix)",[26],Matt Simons,
2016,14.0,April 7,Alan Walker,Matt Simons,,,Matt Simons,
2016,15.0,April 14,Alan Walker,Alan Walker,"""Catch & Release"" (Deepend Remix)",[30],Alan Walker,
2016,16.0,April 21,Sia,"""Cheap Thrills""",Matt Simons,"""Catch & Release"" (Deepend Remix)",Cheap Thrills,Catch & Release
2016,17.0,April 28,Enrique IglesiasfeaturingWisin,"""Duele el Corazón""",Lukas Graham,"""7 Years""",Duele el Corazón,7 Years
2016,18.0,May 5,Enrique IglesiasfeaturingWisin,Alan Walker,"""Faded""",[36],Alan Walker,
2016,19.0,May 12,Enrique IglesiasfeaturingWisin,Alan Walker,,,Alan Walker,
2016,20.0,May 19,Enrique IglesiasfeaturingWisin,Enrique Iglesias featuring Wisin,"""Duele el Corazón""",[40],Enrique Iglesias featuring Wisin,
2016,21.0,May 26,Enrique IglesiasfeaturingWisin,Enrique Iglesias featuring Wisin,,,Enrique Iglesias featuring Wisin,
2016,22.0,June 2,Enrique IglesiasfeaturingWisin,Enrique Iglesias featuring Wisin,,,Enrique Iglesias featuring Wisin,
2016,23.0,June 9,Enrique IglesiasfeaturingWisin,Enrique Iglesias featuring Wisin,,,Enrique Iglesias featuring Wisin,
2016,24.0,June 16,Enrique IglesiasfeaturingWisin,Enrique Iglesias featuring Wisin,,,Enrique Iglesias featuring Wisin,
2016,25.0,June 23,Enrique IglesiasfeaturingWisin,Morat,"""Cómo te atreves""",[50],Morat,
2016,26.0,June 30,Enrique IglesiasfeaturingWisin,Morat,,,Morat,
2016,27.0,July 7,Enrique IglesiasfeaturingWisin,Morat,,,Morat,
2016,28.0,July 14,Enrique IglesiasfeaturingWisin,Morat,,,Morat,
2016,29.0,July 21,Carlos VivesandShakira,"""La Bicicleta""",Jennifer Lopez,"""Ain't Your Mama""",La Bicicleta,Aint Your Mama
2016,30.0,July 28,Carlos VivesandShakira,"""La Bicicleta""",,,La Bicicleta,
2016,31.0,August 4,Carlos VivesandShakira,"""La Bicicleta""",,,La Bicicleta,
2016,32.0,August 11,Carlos VivesandShakira,"""La Bicicleta""",,,La Bicicleta,
2016,33.0,August 18,Carlos VivesandShakira,Justin Timberlake,"""Can't Stop the Feeling!""","""Ain't Your Mama""",Justin Timberlake,Aint Your Mama
2016,34.0,August 25,Carlos VivesandShakira,Justin Timberlake,,,Justin Timberlake,
2016,35.0,September 1,Carlos VivesandShakira,Carlos Vives and Shakira,"""La Bicicleta""","""Ain't Your Mama""",Carlos Vives and Shakira,Aint Your Mama
2016,36.0,September 8,Carlos VivesandShakira,Carlos Vives and Shakira,,,Carlos Vives and Shakira,
2016,37.0,September 15,Carlos VivesandShakira,Carlos Vives and Shakira,,,Carlos Vives and Shakira,
2016,38.0,September 22,Carlos VivesandShakira,Justin Timberlake,"""La Bicicleta""","""Ain't Your Mama""",Justin Timberlake,Aint Your Mama
2016,39.0,September 29,Carlos VivesandShakira,Jonas Bluefeaturing JP Cooper,"""Perfect Strangers""",[78],Jonas Bluefeaturing JP Cooper,
2016,40.0,October 6,Carlos VivesandShakira,Jonas Bluefeaturing JP Cooper,,,Jonas Bluefeaturing JP Cooper,
2016,41.0,October 13,Carlos VivesandShakira,Jonas Bluefeaturing JP Cooper,,,Jonas Bluefeaturing JP Cooper,
2016,42.0,October 20,"J BalvinfeaturingPharrell Williams,BIAand Sky","""Safari""",DJ SnakefeaturingJustin Bieber,"""Let Me Love You""",Safari,Let Me Love You
2016,43.0,October 27,"J BalvinfeaturingPharrell Williams,BIAand Sky","""Safari""",,,Safari,
2016,44.0,November 3,"J BalvinfeaturingPharrell Williams,BIAand Sky","""Safari""",DJ SnakefeaturingJustin Bieber,"""Let Me Love You""",Safari,Let Me Love You
2016,45.0,November 10,ShakirafeaturingMaluma,"""Chantaje""",DJ Snake featuring Justin Bieber,"""Let Me Love You""",Chantaje,Let Me Love You
2016,46.0,November 17,Sebastián Yatra,"""Traicionera""",Bruno Mars,"""24K Magic""",Traicionera,24K Magic
2016,47.0,November 24,Shakira featuring Maluma,"""Chantaje""",Bruno Mars,,Chantaje,
2016,48.0,December 1,Shakira featuring Maluma,DJ Snake featuring Justin Bieber,"""Let Me Love You""","""24K Magic""",DJ Snake featuring Justin Bieber,24K Magic
2016,49.0,December 8,Shakira featuring Maluma,DJ Snake featuring Justin Bieber,,,DJ Snake featuring Justin Bieber,
2016,50.0,December 15,Shakira featuring Maluma,LP,"""Let Me Love You""",[100],LP,
2016,51.0,December 22,Shakira featuring Maluma,DJ Snake featuring Justin Bieber,"""Let Me Love You""",[102],DJ Snake featuring Justin Bieber,
2016,52.0,December 29,Shakira featuring Maluma,LP,"""Lost on You""",[104],LP,
2017,1.0,January 5,ShakirafeaturingMaluma,"""Chantaje""",DJ SnakefeaturingJustin Bieber,"""Let Me Love You""",Chantaje,Let Me Love You
2017,2.0,January 12,ShakirafeaturingMaluma,Clean BanditfeaturingSean PaulandAnne-Marie,"""Rockabye""",[4],Clean BanditfeaturingSean PaulandAnne-Marie,
2017,3.0,January 19,Luis FonsifeaturingDaddy Yankee,"""Despacito""","""Rockabye""",,Despacito,
2017,4.0,January 26,Luis FonsifeaturingDaddy Yankee,"""Despacito""",,,Despacito,
2017,5.0,February 2,Luis FonsifeaturingDaddy Yankee,"""Despacito""",,,Despacito,
2017,6.0,February 9,Luis FonsifeaturingDaddy Yankee,"""Despacito""",,,Despacito,
2017,7.0,February 16,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,"""Despacito""",[14],Luis Fonsi featuring Daddy Yankee,
2017,8.0,February 23,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,,,Luis Fonsi featuring Daddy Yankee,
2017,9.0,March 2,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,,,Luis Fonsi featuring Daddy Yankee,
2017,10.0,March 9,Luis FonsifeaturingDaddy Yankee,Clean Bandit featuring Sean Paul and Anne-Marie,"""Despacito""",[20],Clean Bandit featuring Sean Paul and Anne-Marie,
2017,11.0,March 16,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,"""Despacito""",[22],Luis Fonsi featuring Daddy Yankee,
2017,12.0,March 23,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,,,Luis Fonsi featuring Daddy Yankee,
2017,13.0,March 30,Luis FonsifeaturingDaddy Yankee,Enrique IglesiasfeaturingDescemer BuenoandZion & Lennox,"""Despacito""",[26],Enrique IglesiasfeaturingDescemer BuenoandZion & Lennox,
2017,14.0,April 6,Luis FonsifeaturingDaddy Yankee,Ed Sheeran,"""Shape of You""",[28],Ed Sheeran,
2017,15.0,April 13,Luis FonsifeaturingDaddy Yankee,Enrique Iglesias featuring Descemer Bueno and Zion & Lennox,"""Súbeme la radio""",[30],Enrique Iglesias featuring Descemer Bueno and Zion & Lennox,
2017,16.0,April 20,Luis FonsifeaturingDaddy Yankee,Katy PerryfeaturingSkip Marley,"""Chained to the Rhythm""",[32],Katy PerryfeaturingSkip Marley,
2017,17.0,April 27,Luis FonsifeaturingDaddy Yankee,Ed Sheeran,"""Shape of You""",[34],Ed Sheeran,
2017,18.0,May 4,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,"""Despacito""",[36],Luis Fonsi featuring Daddy Yankee,
2017,19.0,May 11,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,,,Luis Fonsi featuring Daddy Yankee,
2017,20.0,May 18,Luis FonsifeaturingDaddy Yankee,Katy Perry featuring Skip Marley,"""Despacito""",[40],Katy Perry featuring Skip Marley,
2017,21.0,May 25,Luis FonsifeaturingDaddy Yankee,Clean Bandit featuringZara Larsson,"""Symphony""",[42],Clean Bandit featuringZara Larsson,
2017,22.0,June 1,Luis FonsifeaturingDaddy Yankee,Luis Fonsi featuring Daddy Yankee,"""Despacito""",[44],Luis Fonsi featuring Daddy Yankee,
2017,23.0,June 8,Luis FonsifeaturingDaddy Yankee,Clean Bandit featuring Zara Larsson,"""Symphony""",[46],Clean Bandit featuring Zara Larsson,
2017,24.0,June 15,Luis FonsifeaturingDaddy Yankee,Kaleo,"""Way Down We Go""",[48],Kaleo,
2017,25.0,June 22,Luis FonsifeaturingDaddy Yankee,Kaleo,,,Kaleo,
2017,26.0,June 29,Luis FonsifeaturingDaddy Yankee,Charlie Puth,"""Attention""",[52],Charlie Puth,
2017,27.0,July 6,Luis FonsifeaturingDaddy Yankee,Charlie Puth,,,Charlie Puth,
2017,28.0,July 13,Luis FonsifeaturingDaddy Yankee,Charlie Puth,,,Charlie Puth,
2017,29.0,July 20,J BalvinandWilly William,"""Mi Gente""","""Attention""","""Issues""",Mi Gente,Issues
2017,30.0,July 27,J BalvinandWilly William,Charlie Puth,"""Attention""",[60],Charlie Puth,
2017,31.0,August 3,J BalvinandWilly William,Charlie Puth,,,Charlie Puth,
2017,32.0,August 10,J BalvinandWilly William,Efecto Pasillo,"""Attention""",[64],Efecto Pasillo,
2017,33.0,August 17,J BalvinandWilly William,Charlie Puth,"""Attention""",[66],Charlie Puth,
2017,34.0,August 24,J BalvinandWilly William,Clean Bandit featuring Zara Larsson,"""Symphony""",[68],Clean Bandit featuring Zara Larsson,
2017,35.0,August 31,J BalvinandWilly William,Robin SchulzfeaturingJames Blunt,"""OK""",[70],Robin SchulzfeaturingJames Blunt,
2017,36.0,September 7,J BalvinandWilly William,Robin SchulzfeaturingJames Blunt,,,Robin SchulzfeaturingJames Blunt,
2017,37.0,September 14,Becky Gfeaturing Bad Bunny,Robin SchulzfeaturingJames Blunt,"""OK""",,Robin SchulzfeaturingJames Blunt,
2017,38.0,September 21,Nacho,"""Bailame""","""OK""",,Bailame,
2017,39.0,September 28,Nacho,"""Bailame""",,,Bailame,
2017,40.0,October 5,Nacho,"""Bailame""",,,Bailame,
2017,41.0,October 12,Nacho,"""Bailame""",,,Bailame,
2017,42.0,October 19,Nacho,"""Bailame""","""OK""",[84],Bailame,
2017,43.0,October 26,Natti NatashafeaturingOzuna,"""Criminal""","""OK""","""OK""",Criminal,OK
2017,44.0,November 2,Natti NatashafeaturingOzuna,Pablo Alborán,"""No Vaya a Ser""",[88],Pablo Alborán,
2017,45.0,November 9,Natti NatashafeaturingOzuna,Pablo Alborán,,,Pablo Alborán,
2017,46.0,November 16,"Bad Bunny,Prince Royceand J Balvinfeaturing Mambo Kingz and DJ Luian","""Sensualidad""","""No Vaya a Ser""",,Sensualidad,
2017,47.0,November 23,"Bad Bunny,Prince Royceand J Balvinfeaturing Mambo Kingz and DJ Luian",Portugal. The Man,"""Feel It Still""",[94],Portugal. The Man,
2017,48.0,November 30,Luis Fonsi featuringDemi Lovato,"""Échame la Culpa""","""Feel It Still""",,Échame la Culpa,
2017,49.0,December 7,Luis Fonsi featuringDemi Lovato,"""Échame la Culpa""","""Havana""",[98],Échame la Culpa,
2017,50.0,December 14,Luis Fonsi featuringDemi Lovato,Ed Sheeran withBeyoncé,"""Perfect Duet""",[100],Ed Sheeran withBeyoncé,
2017,51.0,December 21,Luis Fonsi featuringDemi Lovato,Ed Sheeran withBeyoncé,,,Ed Sheeran withBeyoncé,
2017,52.0,December 28,Luis Fonsi featuringDemi Lovato,Camila Cabello featuring Young Thug,"""Perfect Duet""",[104],Camila Cabello featuring Young Thug,
2018,1.0,January 4,Luis FonsifeaturingDemi Lovato,"""Échame la Culpa""",Camila CabellofeaturingYoung Thug,"""Havana""",Échame la Culpa,Havana
2018,2.0,January 11,Luis FonsifeaturingDemi Lovato,Ed SheeranandBeyoncé,"""Perfect""",[4],Ed SheeranandBeyoncé,
2018,3.0,January 18,Luis FonsifeaturingDemi Lovato,Ed SheeranandBeyoncé,,,Ed SheeranandBeyoncé,
2018,4.0,January 25,Luis FonsifeaturingDemi Lovato,Camila Cabello featuring Young Thug,"""Perfect""",[8],Camila Cabello featuring Young Thug,
2018,5.0,February 1,Luis FonsifeaturingDemi Lovato,Ed Sheeran and Beyoncé,"""Perfect""",[10],Ed Sheeran and Beyoncé,
2018,6.0,February 8,AitanaandAna Guerra,"""Lo malo""",Morat andJuanes,"""Besos en guerra""",Lo malo,Besos en guerra
2018,7.0,February 15,Daddy Yankee,"""Dura""",Luis Fonsi featuring Demi Lovato,"""Échame la Culpa""",Dura,Échame la Culpa
